date,hour,kind,mwh
2021-01-13,13,wind,12.0
2021-01-13,14,wind,28.0
2021-01-13,15,wind,25.0
2021-01-16,13,wind,4.0
2021-01-16,14,wind,18.0
2021-01-18,14,wind,21.0
2021-01-18,15,wind,25.0
2021-01-19,13,wind,13.0
2021-01-19,14,wind,22.0
2021-01-19,15,wind,1.0
2021-01-24,12,wind,3.0
2021-01-24,13,wind,31.0
2021-01-24,14,wind,43.0
2021-01-24,15,wind,18.0
2021-01-24,16,wind,3.0
2021-01-27,14,wind,4.0
2021-01-27,15,wind,4.0
2021-01-28,11,wind,3.0
2021-01-28,12,wind,41.0
2021-01-28,13,wind,32.0
2021-01-29,14,wind,45.0
2021-01-29,15,wind,26.0
2021-02-02,12,wind,29.0
2021-02-02,13,wind,63.0
2021-02-02,14,wind,78.0
2021-02-02,15,wind,33.0
2021-02-04,12,wind,3.0
2021-02-04,13,wind,33.0
2021-02-04,14,wind,33.0
2021-02-04,15,wind,13.0
2021-02-08,11,wind,7.0
2021-02-08,12,wind,87.0
2021-02-08,13,wind,143.0
2021-02-08,14,wind,149.0
2021-02-08,15,wind,149.0
2021-02-08,16,wind,92.0
2021-02-08,17,wind,20.0
2021-02-09,12,wind,1.0
2021-02-09,13,wind,16.0
2021-02-09,14,wind,25.0
2021-02-09,15,wind,24.0
2021-02-09,16,wind,3.0
2021-02-13,14,wind,1.0
2021-02-13,15,wind,6.0
2021-02-13,16,wind,1.0
2021-02-15,14,wind,4.0
2021-02-15,15,wind,28.0
2021-02-15,16,wind,13.0
2021-02-20,12,wind,40.0
2021-02-20,13,wind,73.0
2021-02-20,14,wind,88.0
2021-02-20,15,wind,75.0
2021-02-20,16,wind,9.0
2021-02-21,11,wind,22.0
2021-02-21,12,wind,56.0
2021-02-21,13,wind,59.0
2021-02-21,14,wind,59.0
2021-02-21,15,wind,59.0
2021-02-21,16,wind,36.0
2021-02-21,17,wind,4.0
2021-02-22,12,wind,14.0
2021-02-22,13,wind,44.0
2021-02-22,14,wind,40.0
2021-02-22,15,wind,1.0
2021-02-23,10,wind,2.0
2021-02-23,11,wind,33.0
2021-02-23,12,wind,62.0
2021-02-23,13,wind,93.0
2021-02-23,14,wind,93.0
2021-02-23,15,wind,43.0
2021-03-02,12,wind,29.0
2021-03-02,13,wind,73.0
2021-03-02,14,wind,68.0
2021-03-02,15,wind,54.0
2021-03-02,16,wind,25.0
2021-03-14,11,wind,3.0
2021-03-14,12,wind,26.0
2021-03-14,13,wind,26.0
