year,date,hour,base_curtail_mwh,bid_mwh,cleared_mwh,delivered_mwh,jeju_smp,delivery_pct
2021,2021-04-08,12,90.0,0.9,0.9,0.371,78.18,41.22
2021,2021-04-08,13,90.0,0.9,0.9,0.643,75.58,71.44
2021,2021-04-14,13,90.0,0.75,0.75,0.068,75.5,9.07
2021,2021-04-14,14,90.0,0.75,0.75,0.123,76.13,16.4
2021,2021-04-30,11,90.0,1.19,1.19,0.557,76.23,46.81
2021,2021-04-30,12,90.0,1.19,1.19,0.633,76.22,53.19
2021,2021-04-30,13,90.0,1.19,1.19,0.487,74.04,40.92
2021,2021-04-30,14,90.0,1.19,1.19,0.333,75.9,27.98
2021,2021-05-02,11,81.0,1.13,1.13,0.813,76.16,71.95
2021,2021-05-02,12,81.0,1.13,1.13,0.713,75.9,63.1
2021,2021-05-02,13,81.0,1.13,1.13,0.8,75.95,70.8
2021,2021-05-02,14,81.0,1.13,1.13,0.901,75.87,79.73
2021,2021-05-02,15,81.0,1.13,1.13,0.638,76.1,56.46
2021,2021-05-05,12,81.0,0.68,0.68,0.796,75.98,117.06
2021,2021-05-05,13,81.0,0.68,0.68,0.598,75.35,87.94
2021,2021-05-05,14,81.0,0.68,0.68,0.535,75.35,78.68
2021,2021-05-05,15,81.0,0.68,0.68,0.79,75.72,116.18
2021,2021-05-07,12,81.0,0.48,0.48,0.644,81.13,134.17
2021,2021-05-07,13,81.0,0.48,0.48,0.78,79.84,162.5
2021,2021-05-08,13,81.0,0.25,0.25,0.095,65.63,38.0
2021,2021-05-08,14,81.0,0.25,0.25,0.055,75.34,22.0
2021,2021-05-25,11,81.0,0.23,0.23,1.064,81.65,462.61
2021,2021-05-25,12,81.0,0.23,0.23,1.014,81.6,440.87
2021,2021-05-25,13,81.0,0.23,0.23,1.557,80.27,676.96
2021,2021-05-25,14,81.0,0.23,0.23,0.958,81.26,416.52
2021,2021-05-28,11,81.0,0.4,0.4,0.991,82.09,247.75
2021,2021-05-28,12,81.0,0.35,0.35,1.2,82.09,342.86
2021,2021-05-28,13,81.0,0.35,0.35,0.854,80.98,244.0
2021,2021-10-03,12,81.0,4.36,4.36,0.467,106.21,10.71
2022,2022-03-05,13,70.0,7.77,7.77,0.971,180.98,12.5
2022,2022-03-05,14,70.0,8.13,8.13,1.082,180.84,13.31
2022,2022-03-05,15,70.0,7.5,7.5,1.067,184.12,14.23
2022,2022-03-29,13,70.0,9.2199,9.2199,1.753,192.31,19.01
2022,2022-04-09,12,70.0,7.4,7.4,1.329,195.88,17.96
2022,2022-04-09,13,70.0,7.419,7.419,1.272,186.11,17.15
2022,2022-04-09,14,70.0,7.599,7.599,0.988,189.77,13.0
2022,2022-04-16,12,70.0,9.05,9.05,1.087,198.55,12.01
2022,2022-04-16,13,70.0,8.84,8.84,1.1,153.53,12.44
2022,2022-04-16,14,70.0,9.25,9.25,0.914,197.78,9.88
2022,2022-04-17,12,70.0,8.04,8.04,1.328,125.47,16.52
2022,2022-04-17,13,70.0,8.379,8.379,1.018,119.0,12.15
2022,2022-04-17,14,70.0,7.91,7.91,1.015,126.35,12.83
2022,2022-04-17,15,70.0,8.24,8.24,1.498,128.46,18.18
2022,2022-04-19,12,70.0,7.16,7.16,0.667,189.16,9.32
2022,2022-04-19,13,70.0,6.8,6.8,0.553,194.56,8.13
2022,2022-04-20,12,70.0,9.669,9.669,1.879,197.03,19.43
2022,2022-04-20,13,70.0,8.45,8.45,1.855,185.02,21.95
2022,2022-04-20,14,70.0,9.96,9.96,2.305,194.79,23.14
2022,2022-04-24,12,70.0,8.579,8.579,0.738,124.17,8.6
2022,2022-04-24,13,70.0,7.97,7.97,0.737,119.13,9.25
2022,2022-04-24,14,70.0,8.41,8.41,0.751,119.18,8.93
2022,2022-04-25,12,70.0,7.519,7.519,1.109,214.58,14.75
2022,2022-04-25,13,70.0,7.15,7.15,0.957,214.58,13.38
2022,2022-04-25,14,70.0,7.44,7.44,1.331,214.58,17.89
2022,2022-04-25,15,70.0,7.46,7.46,1.297,214.58,17.39
2022,2022-04-28,12,70.0,10.05,10.05,2.426,179.57,24.14
2022,2022-04-28,13,70.0,9.549,9.549,2.111,173.84,22.11
2022,2022-04-28,14,70.0,11.05,11.05,2.242,191.05,20.29
2022,2022-05-01,12,70.0,9.77,9.77,1.514,112.88,15.5
2022,2022-05-01,13,70.0,9.41,9.41,1.453,111.71,15.44
2022,2022-05-01,14,70.0,10.68,10.68,1.447,112.88,13.55
2022,2022-05-02,11,70.0,12.07,12.07,1.918,147.49,15.89
2022,2022-05-02,12,70.0,10.53,10.53,1.696,144.94,16.11
2022,2022-05-02,13,70.0,10.51,10.51,1.832,142.86,17.43
2022,2022-05-02,14,70.0,11.16,11.16,1.672,146.69,14.98
2022,2022-05-04,12,70.0,10.39,10.39,1.437,139.18,13.83
2022,2022-05-04,13,70.0,9.82,9.82,1.948,135.83,19.84
2022,2022-05-04,14,70.0,10.53,10.53,2.14,139.13,20.32
2022,2022-05-05,11,70.0,11.6,11.6,2.157,137.37,18.59
2022,2022-05-05,12,70.0,10.49,10.49,2.245,135.21,21.4
2022,2022-05-05,13,70.0,10.11,10.11,1.858,121.56,18.38
2022,2022-05-05,14,70.0,10.24,10.24,2.191,137.08,21.4
2022,2022-05-14,11,70.0,12.26,12.26,2.851,136.74,23.25
2022,2022-05-14,12,70.0,11.05,11.05,2.623,134.0,23.74
2022,2022-05-14,13,70.0,10.38,10.38,2.002,132.25,19.29
2022,2022-05-14,14,70.0,11.49,11.49,2.153,135.06,18.74
2022,2022-05-14,15,70.0,11.46,11.46,2.0,136.74,17.45
2022,2022-05-21,13,70.0,10.09,10.09,2.856,132.56,28.31
2022,2022-05-22,11,70.0,11.09,11.09,1.43,106.84,12.89
2022,2022-05-22,12,70.0,9.9,9.9,1.169,100.22,11.81
2022,2022-05-22,13,70.0,9.93,9.93,1.587,99.78,15.98
2022,2022-05-22,14,70.0,10.3,10.3,1.753,101.2,17.02
2022,2022-05-22,15,70.0,10.51,10.51,1.925,104.47,18.32
2022,2022-10-18,11,70.0,10.17,10.17,1.9,272.5,18.68
2022,2022-10-18,12,70.0,10.69,10.69,1.963,258.38,18.36
2022,2022-10-18,13,70.0,9.99,9.99,2.12,268.63,21.22
2022,2022-10-18,14,70.0,10.73,10.73,2.194,273.85,20.45
2022,2022-10-18,15,70.0,10.57,10.57,2.283,281.28,21.6
2022,2022-10-19,11,70.0,13.63,13.63,3.6,272.14,26.41
2022,2022-10-19,12,70.0,13.81,13.81,4.219,265.59,30.55
2022,2022-10-19,13,70.0,13.13,13.13,3.577,254.54,27.24
2022,2022-10-19,14,70.0,13.82,13.82,3.17,256.65,22.94
2022,2022-10-20,12,70.0,14.27,14.27,3.283,258.94,23.01
2022,2022-10-20,13,70.0,13.72,13.72,3.075,254.65,22.41
2022,2022-10-23,10,70.0,1.5,1.5,0.118,254.57,7.87
2022,2022-10-23,11,70.0,1.5,1.5,0.19,231.14,12.67
2022,2022-10-23,12,70.0,1.5,1.5,0.303,250.52,20.2
2022,2022-10-23,13,70.0,1.5,1.5,0.277,250.52,18.47
2022,2022-10-23,14,70.0,1.5,1.5,0.331,227.56,22.07
2022,2022-10-23,15,70.0,1.5,1.5,0.293,229.23,19.53
2022,2022-10-25,12,70.0,12.15,12.15,3.17,232.96,26.09
2022,2022-10-25,13,70.0,12.27,12.27,3.176,255.8,25.88
2022,2022-11-01,11,70.0,12.97,12.97,2.393,208.61,18.45
2022,2022-11-01,12,70.0,13.21,13.21,2.285,208.61,17.3
2022,2022-11-01,13,70.0,12.91,12.91,2.147,212.8,16.63
2022,2022-11-01,14,70.0,13.54,13.54,2.58,208.61,19.05
2022,2022-11-04,11,70.0,11.46,11.46,2.178,265.13,19.01
2022,2022-11-04,12,70.0,12.26,12.26,2.408,251.32,19.64
2022,2022-11-04,13,70.0,12.21,12.21,1.87,251.32,15.32
2022,2022-11-04,14,70.0,12.32,12.32,2.078,251.32,16.87
2022,2022-11-05,11,70.0,10.77,10.77,3.526,254.47,32.74
2022,2022-11-05,12,70.0,11.09,11.09,3.241,248.61,29.22
2022,2022-11-05,13,70.0,11.19,11.19,3.115,204.94,27.84
2023,2023-01-07,12,0.0,11.07,11.07,1.624,275.48,14.67
2023,2023-01-07,13,0.0,11.01,11.01,1.656,269.33,15.04
2023,2023-01-07,14,0.0,10.75,10.75,1.575,269.33,14.65
2023,2023-01-07,15,0.0,10.37,10.37,1.543,251.31,14.88
2023,2023-01-20,13,0.0,0.0,0.0,1.43,249.99,0.0
2023,2023-01-20,14,0.0,0.0,0.0,1.338,249.94,0.0
2023,2023-02-14,13,0.0,10.96,10.96,1.724,253.48,15.73
2023,2023-02-14,14,0.0,11.26,11.26,1.909,258.12,16.95
2023,2023-02-19,13,0.0,0.0,0.0,2.023,232.94,0.0
2023,2023-02-19,14,0.0,0.0,0.0,2.451,236.5,0.0
2023,2023-02-20,13,0.0,0.0,0.0,2.963,258.65,0.0
2023,2023-02-20,14,0.0,0.0,0.0,2.905,266.82,0.0
2023,2023-02-20,15,0.0,0.0,0.0,1.242,267.84,0.0
2023,2023-02-21,13,0.0,0.0,0.0,3.653,243.72,0.0
2023,2023-02-21,14,0.0,0.0,0.0,3.576,243.71,0.0
2023,2023-02-24,13,0.0,10.88,10.88,1.918,246.85,17.63
2023,2023-02-24,14,0.0,11.65,11.65,1.992,245.09,17.1
2023,2023-02-24,15,0.0,11.61,11.61,1.582,249.15,13.63
2023,2023-02-25,13,0.0,13.27,13.27,3.465,251.77,26.11
2023,2023-02-25,14,0.0,13.58,13.58,3.468,234.56,25.54
2023,2023-02-25,15,0.0,13.65,13.65,3.971,231.83,29.09
2023,2023-02-25,16,0.0,13.81,13.81,3.778,233.72,27.36
2023,2023-02-26,12,0.0,0.0,0.0,1.094,251.54,0.0
2023,2023-02-26,13,0.0,0.0,0.0,1.059,240.72,0.0
2023,2023-02-26,15,0.0,0.0,0.0,1.178,227.96,0.0
2023,2023-02-27,14,0.0,0.0,0.0,2.805,253.95,0.0
2023,2023-02-28,12,0.0,0.0,0.0,1.214,247.0,0.0
2023,2023-02-28,13,0.0,2.5,2.5,0.934,244.49,37.36
2023,2023-02-28,14,0.0,2.56,2.56,0.843,244.48,32.93
2023,2023-02-28,15,0.0,0.0,0.0,1.182,244.92,0.0
2023,2023-03-02,12,0.0,0.0,0.0,2.113,252.72,0.0
2023,2023-03-02,13,0.0,0.0,0.0,2.294,238.73,0.0
2023,2023-03-02,14,0.0,0.0,0.0,2.5,238.66,0.0
2023,2023-03-02,15,0.0,0.0,0.0,2.171,238.67,0.0
2023,2023-03-02,16,0.0,0.0,0.0,2.449,238.67,0.0
2023,2023-03-04,13,0.0,0.0,0.0,3.26,137.66,0.0
2023,2023-03-04,14,0.0,0.0,0.0,3.093,137.44,0.0
2023,2023-03-04,15,0.0,0.0,0.0,3.182,136.58,0.0
2023,2023-03-05,11,0.0,0.0,0.0,2.539,112.48,0.0
2023,2023-03-05,12,0.0,0.0,0.0,2.586,94.12,0.0
2023,2023-03-06,12,0.0,0.0,0.0,3.685,239.02,0.0
2023,2023-03-06,13,0.0,0.0,0.0,3.53,233.74,0.0
2023,2023-03-06,14,0.0,0.0,0.0,3.731,239.0,0.0
2023,2023-03-06,15,0.0,0.0,0.0,3.001,238.98,0.0
2023,2023-03-07,13,0.0,0.0,0.0,2.846,236.28,0.0
2023,2023-03-07,14,0.0,0.0,0.0,2.604,238.37,0.0
2023,2023-03-08,13,0.0,11.18,11.18,1.486,137.25,13.29
2023,2023-03-08,14,0.0,0.0,0.0,3.097,217.5,0.0
2023,2023-03-10,13,0.0,0.0,0.0,2.982,232.64,0.0
2023,2023-03-10,14,0.0,0.0,0.0,3.17,239.03,0.0
2023,2023-03-11,14,0.0,0.0,0.0,2.766,219.09,0.0
2023,2023-03-13,13,0.0,0.0,0.0,3.678,236.12,0.0
2023,2023-03-13,14,0.0,0.0,0.0,3.655,236.12,0.0
2023,2023-03-13,15,0.0,0.0,0.0,3.968,237.12,0.0
2023,2023-03-14,11,0.0,0.0,0.0,2.896,255.77,0.0
2023,2023-03-14,12,0.0,0.0,0.0,3.087,240.62,0.0
2023,2023-03-14,13,0.0,0.0,0.0,3.191,238.91,0.0
2023,2023-03-14,14,0.0,0.06,0.06,0.0,238.91,0.0
2023,2023-03-14,15,0.0,0.0,0.0,3.441,238.91,0.0
2023,2023-03-14,16,0.0,0.0,0.0,3.204,237.91,0.0
2023,2023-03-15,11,0.0,9.13,9.13,1.639,242.42,17.95
2023,2023-03-15,12,0.0,9.26,9.26,1.872,240.36,20.22
2023,2023-03-15,13,0.0,9.52,9.52,2.291,190.43,24.07
2023,2023-03-15,14,0.0,9.73,9.73,2.576,192.02,26.47
2023,2023-03-16,11,0.0,10.23,10.23,2.747,239.11,26.85
2023,2023-03-16,12,0.0,10.68,10.68,2.846,245.79,26.65
2023,2023-03-16,13,0.0,11.07,11.07,2.813,238.28,25.41
2023,2023-03-16,14,0.0,11.51,11.51,3.021,238.91,26.25
2023,2023-03-18,12,0.0,11.49,11.49,3.275,138.31,28.5
2023,2023-03-18,13,0.0,12.16,12.16,3.062,112.6,25.18
2023,2023-03-18,14,0.0,12.68,12.68,2.883,126.18,22.74
2023,2023-03-19,13,0.0,0.0,0.0,2.455,114.1,0.0
2023,2023-03-19,14,0.0,0.0,0.0,2.528,114.1,0.0
2023,2023-03-19,15,0.0,0.0,0.0,2.463,114.1,0.0
2023,2023-03-26,14,0.0,0.0,0.0,2.546,118.41,0.0
2023,2023-03-26,15,0.0,0.0,0.0,2.702,118.33,0.0
2023,2023-03-27,13,0.0,0.0,0.0,2.874,202.62,0.0
2023,2023-03-27,14,0.0,0.0,0.0,3.244,232.99,0.0
2023,2023-03-27,15,0.0,0.0,0.0,3.26,243.94,0.0
2023,2023-03-28,13,0.0,1.5,1.5,0.417,137.9,27.8
2023,2023-03-28,14,0.0,0.0,0.0,2.933,153.58,0.0
2023,2023-03-29,13,0.0,0.0,0.0,2.757,196.81,0.0
2023,2023-04-03,11,0.0,0.0,0.0,2.901,174.73,0.0
2023,2023-04-03,12,0.0,0.0,0.0,2.79,170.18,0.0
2023,2023-04-03,13,0.0,0.0,0.0,3.406,158.9,0.0
2023,2023-04-03,14,0.0,0.0,0.0,3.618,169.14,0.0
2023,2023-04-07,12,0.0,0.0,0.0,2.911,176.14,0.0
2023,2023-04-07,13,0.0,12.92,12.92,3.229,158.27,24.99
2023,2023-04-07,14,0.0,12.81,12.81,3.237,158.43,25.27
2023,2023-04-08,13,0.0,0.0,0.0,3.679,135.51,0.0
2023,2023-04-08,14,0.0,0.0,0.0,3.485,135.51,0.0
2023,2023-04-08,15,0.0,0.0,0.0,3.359,135.51,0.0
2023,2023-04-08,16,0.0,0.0,0.0,3.46,153.15,0.0
2023,2023-04-09,11,0.0,0.0,0.0,2.833,117.93,0.0
2023,2023-04-09,12,0.0,0.0,0.0,2.765,118.27,0.0
