일시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2016-01-01,47788,48815,48477,48284,48870,49347,46882,58557,59837,57593,58456,62046,59553,60349,54350,54403,52951,63489,64373,61672,61900,63809,56050,54968
2016-01-02,40047,40656,40064,40000,40030,41229,40000,48506,52292,50648,45445,50268,49112,52255,45174,45585,45165,52115,53931,58291,55911,55496,45034,48612
2016-01-03,40000,40000,41075,41856,40000,42240,40000,51436,49536,50973,46303,52678,51524,53438,44160,46741,49284,54281,52648,55894,55599,55634,49371,46316
2016-01-04,49905,51106,48314,49805,48820,47121,50416,57158,58928,59376,57755,60792,62680,59098,56576,56271,56842,63786,62527,64671,62101,66189,54325,53336
2016-01-05,47426,51696,49075,48519,50126,50797,48262,58679,57354,59453,53256,60382,61076,60801,54059,55312,53996,62158,61453,63413,62433,64158,54399,54620
2016-01-06,48774,46738,48802,47747,48963,51952,48190,56531,58023,56422,57277,59585,62731,61427,52966,54410,51217,62207,62288,63668,62728,63647,53682,54611
2016-01-07,48480,47210,48120,49865,45428,47477,51010,58409,56781,58049,54090,60319,58596,63986,54314,55489,56559,60315,62768,63068,64599,61984,53310,55745
2016-01-08,49927,50000,50946,49533,49081,48827,52334,56887,59359,58353,55576,60588,61487,61344,53338,53741,56541,65864,61846,64809,62567,62903,56029,53228
2016-01-09,41547,41356,41533,40990,40000,41536,41479,50509,50879,52208,45013,50934,50337,49602,46943,46273,48619,54743,54738,55463,53919,55733,47012,47190
2016-01-10,42750,41637,41197,44551,41426,42125,41899,50024,52533,50307,44856,52793,52329,52089,47454,47403,46830,51777,55200,57307,56369,53365,46544,46627
2016-01-11,50139,52138,48336,47075,49724,49507,45752,60109,57721,58939,53010,60902,63020,61386,57340,55762,54809,65140,63518,64172,63143,63514,53908,54553
2016-01-12,48949,46473,49160,48161,46696,48493,48619,59702,61286,58441,54457,62840,62612,60036,54862,52900,58242,64459,64535,63610,64110,60665,55580,55596
2016-01-13,47002,49355,48394,48321,50003,47715,49433,58515,59223,57744,52043,61681,63237,60922,54065,54109,54736,62062,64925,63110,63230,66769,55063,55277
2016-01-14,49361,49102,47794,50729,51015,48054,47785,59325,58102,60426,54266,62078,58093,62267,56380,53131,56026,64074,63305,62629,62679,62064,53017,50083
2016-01-15,49146,47233,48693,48553,48652,49857,49679,59078,61835,60463,54800,59989,58674,62162,51483,55485,56004,62941,62093,65165,61495,62421,55055,56162
2016-01-16,40344,40807,43564,40758,40000,40472,41146,52484,50133,47533,46672,50897,55374,51329,44856,44855,45360,55097,55412,53345,57453,55563,47260,44599
2016-01-17,40000,40000,40000,43801,40771,40000,40155,51773,50237,49729,47501,49615,52285,53786,47658,46018,46778,55157,56795,58045,53190,53103,46205,46985
2016-01-18,47288,51159,49734,50336,50024,48210,46918,57483,62271,57423,53836,60375,59712,61671,53880,56129,59196,63925,61616,61493,62019,63569,56768,52473
2016-01-19,47796,51551,47606,51534,51641,47309,50440,56739,57436,59264,55893,62749,60574,59680,57067,53994,53700,63037,63574,63530,60379,62239,54715,54139
2016-01-20,49644,45979,47771,50011,50088,48844,49419,58187,60047,59840,55522,61753,58892,60087,53679,56832,52614,62865,62991,62164,65370,63341,58535,52438
2016-01-21,52206,51555,47951,47905,49008,48196,50682,60901,59954,60488,56531,62150,60201,60317,54610,53578,54326,63774,63465,62744,63103,63250,56706,56138
2016-01-22,49461,47081,48876,47486,45298,50868,48547,60201,57111,58349,53650,60372,60086,60858,55383,54511,54515,61759,63543,60099,65855,62962,53955,56271
2016-01-23,42467,40000,40797,40000,42137,40758,41188,50621,53399,49835,47374,55252,51994,52276,44631,47726,44432,57610,54441,55531,53450,54071,47047,46921
2016-01-24,40000,40000,43917,41764,40704,40000,40000,50348,51729,51855,47499,51816,53290,52149,49324,45687,46794,55687,53929,50601,51235,57056,47998,49931
2016-01-25,51119,51415,47283,49093,47310,47471,49974,58757,55988,58588,56708,61488,63670,60146,54241,54506,53690,61756,63014,64699,63058,61649,56045,54989
2016-01-26,46885,48934,47046,48800,50287,49555,46076,56448,57704,61256,55078,61250,63776,61253,55639,57126,53305,61306,61769,63376,61355,63612,56150,53582
2016-01-27,46464,48698,46845,48621,49068,50580,49356,57333,59518,60194,56185,58955,61348,60312,52191,54527,55407,61810,61590,64915,61946,61816,56733,56807
2016-01-28,48486,48501,49064,48585,49345,46512,50161,61691,59265,60974,54753,59430,59203,63532,51699,53497,53682,63979,64164,61012,64725,61574,56448,54441
2016-01-29,50806,48138,46786,50460,49469,48453,46462,59423,57909,61778,54939,60372,62190,61174,56127,55545,52498,64867,64656,59767,63831,64741,54351,53588
2016-01-30,40000,42579,40898,41544,40000,43936,40569,51520,53692,48756,48044,53054,53969,50940,46621,47037,48559,53205,53583,56727,56107,55414,46562,46949
2016-01-31,40000,42306,40000,40863,40265,43450,41970,48935,52948,50312,48146,50950,53267,52451,48987,45534,47359,53726,54360,52064,54513,54063,47633,45762
2016-02-01,50183,48342,49537,49273,48816,48852,50299,57848,54873,57214,54892,61219,60050,60285,55831,56492,53596,64207,61881,62342,63456,62507,54692,53275
2016-02-02,51116,51104,50078,49770,47786,50806,48723,59377,58834,59143,54613,61171,61204,58325,55302,55204,55238,62439,64078,60350,62487,61848,58270,53789
2016-02-03,48941,47665,49701,49971,49214,50360,47707,61010,59481,58127,53392,61545,62253,60413,54427,57375,54329,65277,62390,61109,63659,66295,54570,52587
2016-02-04,48720,47180,48890,48090,49317,50679,48143,57749,59350,59070,53447,60511,60042,62123,55022,53749,56268,61563,64288,63856,64455,63786,56289,53144
2016-02-05,47849,48079,48199,48754,46973,47707,48286,58285,55530,55400,57199,60765,60587,60009,55625,58195,55679,63241,64349,62332,64245,62360,54874,55432
2016-02-06,40360,42803,40299,40067,42204,40594,41582,49956,52930,50707,46988,51763,50200,50827,46106,46883,45573,55131,54914,56673,54546,53064,45809,48572
2016-02-07,40104,41678,41348,40660,40000,41875,40709,52493,50410,49427,47294,52910,54735,51396,48725,48377,45305,55364,56347,54174,53488,56006,46584,49199
2016-02-08,46843,49561,49149,49489,47013,49351,48961,58261,57137,58262,55156,61210,62493,61855,57754,53071,53318,63208,62792,65244,62748,65363,55007,55258
2016-02-09,48460,50779,50013,48173,47763,50152,47645,58540,57697,60534,56106,60418,59845,57657,55195,54388,56159,59942,64096,63543,62468,62953,53248,52425
2016-02-10,47251,47819,49344,48447,45570,48591,49220,58898,58700,58990,54709,61654,60522,60784,54942,55208,54380,64625,62656,61278,63473,63090,52961,56533
2016-02-11,47302,46811,48451,49588,48011,48922,46987,59062,60645,59788,58965,62332,62396,62997,54330,53947,56683,61480,62082,60786,60810,64668,56783,52932
2016-02-12,48207,47281,48657,50192,47826,45906,50520,59728,57529,60234,55529,61117,60280,61398,53968,54952,56835,64985,63918,61909,62571,62745,53827,56425
2016-02-13,40000,41556,43190,42648,40000,40628,43210,50769,51401,49353,45404,51128,51615,53253,47750,46616,49048,53224,54795,54656,55180,55201,45675,44622
2016-02-14,40104,40000,40615,40000,40189,40274,40000,51614,51731,50806,47524,51535,53305,51580,47667,47749,46309,55128,53455,51244,52654,53082,46968,49339
2016-02-15,51430,51588,50119,49364,49578,48851,51283,60788,59942,56301,56644,58971,60655,62006,55056,53545,56361,63782,64048,63633,63668,65106,57336,53886
2016-02-16,51180,45959,47550,48994,47758,47296,47044,58301,59805,57280,54253,61956,62237,62637,58123,56890,53103,64057,66031,60989,62480,62984,59092,53650
2016-02-17,50188,52082,45712,49499,48079,49018,50478,57390,59386,58133,54398,63207,60673,59926,54262,55121,57086,63596,62405,60836,60775,62518,55537,54484
2016-02-18,48376,47844,49085,46234,49639,47188,49148,59545,57564,58441,55377,63732,64064,62350,54722,58703,54193,60968,61573,63299,60541,60645,55474,55536
2016-02-19,47160,50085,48944,50474,45753,48817,49152,58812,60729,61137,55281,61527,60340,58760,55131,56518,56241,60606,65717,61166,61010,62691,55463,52897
2016-02-20,42662,40000,44419,42482,41157,40000,40000,50580,52260,50424,46110,56614,54351,53128,48991,45611,45713,57014,55345,53896,56549,53109,45278,45594
2016-02-21,40306,41587,40000,43464,41399,40639,41200,50027,50580,50332,47703,54517,51970,53255,46390,43969,48051,53839,56991,52422,54035,53392,46275,47997
2016-02-22,47335,50452,49490,46833,48456,50697,47492,56984,58050,56313,56838,61050,58268,61125,53592,55020,52593,63590,64376,62793,63633,62611,54154,54645
2016-02-23,47043,49449,48025,50082,48594,48985,47445,59220,57483,57871,56293,62510,60643,62557,52494,55888,55368,61352,64412,62144,63052,64485,55660,56564
2016-02-24,48213,48316,48599,49752,46207,52389,51323,57478,56600,59639,57754,58978,59949,60984,57531,57586,56340,62390,62882,62939,62299,64103,55320,54852
2016-02-25,47708,50863,49117,47341,46258,46379,50436,58352,59048,57625,54420,61174,62885,60795,54863,54382,53685,60345,60897,66052,62630,63287,53103,57807
2016-02-26,47139,49452,52645,50820,48365,50715,49232,60705,57160,58585,56205,61402,60697,58780,55831,54158,53163,63488,63831,65853,65844,63025,54955,54570
2016-02-27,42855,40000,40629,43181,43052,41977,41276,51532,51940,51713,48320,50631,55675,54354,46299,43298,43550,55519,53990,56096,55359,54152,46181,47015
2016-02-28,40000,41130,41660,40745,40000,40376,43252,50391,51913,51034,48523,51348,52673,53805,45786,44422,48436,57409,54709,55554,54475,54796,45807,45444
2016-02-29,48534,49068,46724,47079,49063,47313,49272,59773,58128,60175,51721,61153,59300,59770,55472,56217,56844,61959,62625,63526,62196,63284,53708,59826
2016-03-01,46929,49390,49102,49333,48291,49373,49386,56396,58339,59070,54362,60333,60571,58944,54247,57808,54898,62695,64239,62392,61591,65462,57476,56576
2016-03-02,44781,47790,49061,49927,47410,47934,50900,57313,57563,59604,52795,58725,61096,61109,55168,53514,52931,60693,63776,63391,63462,67568,54947,54087
2016-03-03,49143,51050,48006,49335,51492,47893,51032,58400,59285,59052,56721,62320,61495,62070,52504,58204,52747,62768,62810,62938,63565,64418,53646,54686
2016-03-04,49555,51632,46965,47997,48057,48228,50429,57968,56869,58709,55405,60422,59353,58275,54671,55802,52767,61713,62627,61357,66086,63777,56479,53513
2016-03-05,40311,45119,40008,40000,41350,40000,40000,51637,51042,50087,45952,54097,52240,55099,46566,49712,46370,55092,54144,53054,56475,54095,46423,48795
2016-03-06,40000,43001,41643,40978,40569,40000,40941,48091,49696,51711,48694,52257,50332,50249,45366,48000,46039,54552,55541,53853,52936,53706,46039,46283
2016-03-07,50790,49495,47920,50313,48590,48551,46742,57685,54912,59477,54157,59575,57894,60589,55926,54022,56835,63294,62093,63296,60425,62383,54518,52670
2016-03-08,49669,48395,50341,50632,50188,49298,49316,56990,58638,59255,53457,59427,59492,61564,57002,52743,52455,62473,62619,61076,63018,64066,55342,49887
2016-03-09,49604,46924,46883,51547,47687,48090,48507,59614,59053,60201,56492,59347,62109,58068,56302,53585,55820,61993,62212,64519,64008,63948,53986,54783
2016-03-10,50054,48761,48890,49990,47744,46191,46499,59717,59248,58452,57122,60799,62333,60390,53011,55688,52569,61959,61214,62655,65402,63955,54575,55865
2016-03-11,47096,49204,49512,47559,48720,48922,47017,59078,61391,61292,56894,61034,60636,59714,57625,57197,55623,64398,64527,62945,62608,62815,55235,55208
2016-03-12,41156,40000,40454,42235,40000,42008,40249,52095,48898,49817,48842,51771,54377,49915,46282,45832,48364,54159,53579,54319,51588,52367,47165,46471
2016-03-13,40114,40990,41290,40289,40000,40000,40741,50801,50862,49586,45443,52450,53603,54662,45016,46133,46918,54833,56503,53067,51538,53716,46180,49021
2016-03-14,48484,50045,49377,46917,49870,48651,46824,57031,59047,59188,53347,63783,63141,59271,54437,54294,56323,63266,65384,63001,62570,62409,54895,55974
2016-03-15,51215,50854,49534,48999,50477,46341,50727,58457,62193,57157,55235,61099,62249,62776,55013,54520,53184,63642,62462,65209,60201,61924,55431,56014
2016-03-16,47767,49596,52827,48412,52018,48782,48182,61489,61624,59466,53240,61073,59959,61013,54773,54316,55897,62227,62624,62872,64162,60340,54651,53396
2016-03-17,48251,50120,51508,47814,49664,48483,49513,57611,58278,59647,53088,57766,62305,61594,56980,53984,53679,65399,62824,64314,61502,63071,56238,54233
2016-03-18,49189,48143,49962,46586,52049,47082,49139,58442,57300,57529,53140,60971,59427,58894,54374,53112,55692,64354,63940,63619,61178,60216,52691,53692
2016-03-19,40481,40000,40000,41388,41578,40000,40000,51083,51151,50503,49278,53623,51093,54310,45728,47880,46789,55196,55406,57535,55666,57166,46865,45353
2016-03-20,40000,42524,41743,40000,41622,41804,42218,50307,50212,49915,47886,52395,51851,52727,47857,44662,46575,54901,55770,51495,54981,54000,46680,45758
2016-03-21,49326,48309,46993,52652,50902,48906,46672,59090,59336,59873,55130,58593,59996,62445,52610,53639,54626,64291,61806,64115,62541,59866,56202,53316
2016-03-22,46024,48830,48055,48170,48792,52532,50285,58500,60228,56890,55812,60014,60959,61908,55927,59080,55349,61518,65463,61158,63677,61723,53811,56011
2016-03-23,48603,50503,45992,47650,49372,48604,49570,59234,57406,61186,56109,62018,58908,60235,55032,56245,53591,64434,63768,63411,65961,60654,56407,55076
2016-03-24,49243,46835,47785,47199,48084,48937,50029,60943,58782,59649,56932,61966,62985,61214,55509,54653,55961,64832,63804,62717,63595,64660,55700,56068
2016-03-25,50436,50785,50486,46519,47138,50299,46548,60967,58797,58590,50391,61484,62378,61159,52386,53313,53409,63594,61733,62754,62685,63554,57001,55400
2016-03-26,40000,40000,40756,41913,40000,42320,41947,52041,51072,49891,48173,50833,51477,52377,43334,44530,44752,53873,53363,53734,55565,52388,47011,44620
2016-03-27,42433,42948,42874,42350,40000,44078,41121,50333,55571,51385,47497,53297,51195,54672,44466,45962,46897,55122,55445,55302,55644,55909,49134,49447
2016-03-28,49776,47669,45808,50421,49316,52064,47873,59541,58319,60325,53217,60051,60612,61898,57021,53633,52749,62506,65240,64750,61502,62001,56526,54837
2016-03-29,48505,46456,49924,49656,48086,46880,49737,58734,60351,57971,55201,61840,59754,60532,54194,54073,56528,63128,63796,63280,62212,62130,54904,55498
2016-03-30,48557,50716,47510,48885,50282,48358,48505,61929,58728,59001,53596,62703,59880,59398,54120,56416,54479,65195,61739,63170,61274,64960,55696,53949
2016-03-31,48977,49277,48784,47120,50470,50161,47068,59284,58301,57327,57022,58784,58250,60693,53159,52066,57396,65014,62989,64011,60514,62264,56737,54567
2016-04-01,46785,49263,53056,50491,46760,48445,47920,57708,57861,59533,53803,61173,61531,60915,54645,55540,54058,64933,59327,63692,63828,61455,57162,56331
2016-04-02,42167,40968,40000,40000,40000,40030,44173,51463,51772,47029,48415,53451,55340,51082,46516,46847,49519,55241,51701,55057,54381,54361,45896,46329
2016-04-03,41025,44545,40725,41185,40697,40569,42068,51861,50391,49719,46883,53943,50175,53758,48256,48180,49181,57940,54054,54120,56575,52619,46033,47767
2016-04-04,50603,51737,49114,49321,51554,48235,46609,60883,58261,57660,56387,58849,59981,64490,52814,53584,57063,64960,64514,60326,62345,63450,54550,56837
2016-04-05,52235,48498,48075,48745,47344,48224,47184,60703,60161,61658,53491,64386,62213,61787,54308,54202,54184,64048,60938,62102,62062,64038,56621,57016
2016-04-06,50145,47718,51588,49446,50359,45607,48826,61263,58156,55828,53965,61505,59999,63729,55808,56025,56597,62984,63394,60372,61361,65464,54832,51406
2016-04-07,48850,49481,48276,48353,51965,51454,46853,57993,58121,57475,56283,61780,60511,60343,56307,54845,56529,62672,64309,63386,62225,60786,56082,57429
2016-04-08,49069,49259,48368,52247,48076,50209,49961,56579,58531,59801,54543,59929,62971,61225,55911,54252,55481,61509,67105,65681,64161,61394,55836,54242
2016-04-09,40890,40726,40000,41044,41365,43991,40790,48320,49840,52480,43337,55588,51229,54111,45767,46766,47018,54273,55775,55735,56220,57634,44202,45116
2016-04-10,40000,41664,42067,40185,40000,40590,40454,52464,49330,50118,45735,51615,52518,52512,48349,46915,46353,56558,53675,55988,55095,55133,45682,45769
2016-04-11,52748,49317,47964,48815,49697,51510,48280,60597,58357,59279,56538,61743,58275,63929,52876,55669,55338,64357,62142,62648,65032,63832,55505,53266
2016-04-12,49558,47198,47781,47205,49299,50564,49531,60446,58579,58479,53157,61870,61728,63261,56392,52708,53420,64736,63466,65111,62384,60033,55903,56424
2016-04-13,49741,49115,49652,46456,48918,47800,47350,59736,58294,56404,55763,60313,61720,63436,54736,58146,57618,61111,62729,61692,64470,61527,57416,52662
2016-04-14,47782,48745,49595,49065,43925,50628,51246,59602,58119,56446,54940,61022,60756,59931,57664,54862,55590,62789,64091,62761,63672,62320,54423,52179
2016-04-15,48182,50539,48238,47842,48669,50729,48882,58246,59938,60108,54366,61585,61645,62405,55625,53754,56627,63376,62313,62936,61323,61963,57252,54639
2016-04-16,42668,40078,40058,41447,40000,40000,40000,49106,49780,52070,46507,54392,54547,52618,49563,46201,44656,56496,53424,54718,57129,55625,44377,45316
2016-04-17,40380,42608,41026,40959,40546,40000,42615,51243,50107,49667,44155,53667,53165,52368,47258,45031,46447,54256,52238,56528,52923,56872,46191,46255
2016-04-18,48713,47083,49194,51867,52096,48173,49700,58842,60179,59371,54232,60598,61030,59675,54000,59618,54244,64178,64176,60792,63017,61054,55968,54973
2016-04-19,49760,46863,48873,48315,49456,48978,48174,59772,57694,59546,57633,60668,59232,61892,53214,56080,54806,62577,61451,62604,63079,62819,55164,56164
2016-04-20,49158,49625,49788,46962,48620,48883,48442,57460,60618,56012,53316,59333,61825,60619,57469,54094,52918,61259,61006,64137,62763,64348,51933,55722
2016-04-21,48547,45420,46757,48797,46661,48734,48928,58962,60960,60040,53573,60801,62173,61567,56113,56072,53553,62055,62413,61850,61318,64416,54662,55687
2016-04-22,48923,47965,48250,50296,48020,51157,48830,59985,59317,60176,52710,59694,62562,58775,56293,57288,55255,64212,63429,65632,63668,64727,55309,54489
2016-04-23,40000,41722,40000,40000,41675,40000,40528,48323,51474,52672,46966,52777,54209,52810,46276,46801,46931,56296,53529,52020,52429,52193,48421,49319
2016-04-24,40000,40515,40000,42297,41044,40371,40000,48143,51113,49293,45042,53831,56010,53398,48703,48102,46256,57493,55960,55961,55324,53881,48574,46435
2016-04-25,47343,50534,48825,48411,50155,47032,49824,58782,59216,59051,52716,61198,58994,60936,55467,54940,54661,63196,62481,64328,62875,61430,56207,56008
2016-04-26,48754,46848,46334,53002,49237,51270,47992,58672,59917,55805,54999,59664,64484,61465,55890,55796,53090,60802,65955,60258,61607,62516,54639,52246
2016-04-27,47817,47039,50983,50904,50226,48430,48714,57190,59286,57383,55289,59386,62425,60056,57245,55020,53471,60057,63874,62750,63959,62385,56820,54013
2016-04-28,49207,49105,49790,48901,53736,53581,52540,60614,58212,61495,55506,61241,60488,60712,53215,55835,56140,62359,63811,63560,62964,63756,54080,56106
2016-04-29,47357,48102,48752,51582,50931,49639,45897,58983,62138,58813,55068,59691,61228,60568,54225,55406,53918,62345,62315,64353,64905,63655,52808,54559
2016-04-30,44151,41845,40187,44309,41621,40015,40000,49050,47190,50792,46436,50542,53432,51580,46086,48257,46753,55323,52889,54214,55361,53542,45661,45502
2016-05-01,42143,41526,40000,40000,42390,40000,41938,48591,49978,51623,44697,54573,53774,54073,45918,45670,43754,54953,53888,53455,55377,54305,46137,45459
2016-05-02,47679,48296,49499,48191,47793,47787,48587,61553,59651,58989,55922,60581,62246,63486,55511,55232,55703,61954,63252,61487,64068,62304,56752,56061
2016-05-03,50971,53300,49298,50702,49986,48670,50080,58140,57660,59584,55519,59602,60471,58739,56060,54470,57773,60841,60350,63511,63067,62183,55916,52592
2016-05-04,49233,47789,50779,47009,50058,49352,47109,59660,58040,59339,52433,59328,60543,59953,52823,57200,54308,64549,62617,64657,60021,62745,55398,55822
2016-05-05,48003,49462,46975,49529,50676,45822,49300,59935,55581,59352,56106,60484,59627,59902,53980,53561,53574,63535,64292,63401,65902,63436,56907,56877
2016-05-06,48091,46743,46946,49021,50154,49786,49642,62180,61249,57598,54772,60833,61451,61654,55662,53040,55243,59498,62115,64911,62266,60612,54040,53558
2016-05-07,42948,40000,41942,42411,41031,41104,40000,49408,51339,50393,46297,52406,53783,51137,49726,45452,46651,55914,53949,52894,54400,56340,46241,46071
2016-05-08,40657,41654,41329,40000,43628,40453,40047,53739,53007,49658,45458,50664,55069,51180,47333,47659,44347,54467,54861,55353,55568,54112,45156,48923
2016-05-09,51861,47155,51141,49096,46392,48475,49354,56713,62110,59587,51600,60891,60389,59473,54733,57584,55265,65707,62747,63603,63116,62313,54959,54019
2016-05-10,47730,49813,50903,48908,48721,49066,50919,60853,58753,57442,55643,58564,60195,61556,54296,54962,53937,61990,63065,63090,64595,64311,53609,56409
2016-05-11,50275,49278,48855,49266,47183,47016,48158,57323,59184,61740,53769,61193,61106,61810,54464,57425,56380,62933,61910,61161,63155,65812,55749,54191
2016-05-12,45429,48825,47753,51915,50179,48807,48392,56562,61115,57660,55188,60503,59832,57279,54228,55332,53325,65971,65232,60253,62925,61361,55227,52965
