연도,연차,월일,기준출력 제어량(MWh),증대일,요일,증대시간,입찰량(MWh),낙찰량(MWh),증대량(MWh),제주SMP,증대 이행률
2021,1차년도(2021),04-08,90,2021-04-08,목,12,0.9,0.9,0.371,78.18,41.22%
2021,1차년도(2021),04-08,90,2021-04-08,목,13,0.9,0.9,0.643,75.58,71.44%
2021,1차년도(2021),04-14,90,2021-04-14,수,13,0.75,0.75,0.068,75.5,9.07%
2021,1차년도(2021),04-14,90,2021-04-14,수,14,0.75,0.75,0.123,76.13,16.40%
2021,1차년도(2021),04-30,90,2021-04-30,금,11,1.19,1.19,0.557,76.23,46.81%
2021,1차년도(2021),04-30,90,2021-04-30,금,12,1.19,1.19,0.633,76.22,53.19%
2021,1차년도(2021),04-30,90,2021-04-30,금,13,1.19,1.19,0.487,74.04,40.92%
2021,1차년도(2021),04-30,90,2021-04-30,금,14,1.19,1.19,0.333,75.9,27.98%
2021,1차년도(2021),05-02,81,2021-05-02,일,11,1.13,1.13,0.813,76.16,71.95%
2021,1차년도(2021),05-02,81,2021-05-02,일,12,1.13,1.13,0.713,75.9,63.10%
2021,1차년도(2021),05-02,81,2021-05-02,일,13,1.13,1.13,0.8,75.95,70.80%
2021,1차년도(2021),05-02,81,2021-05-02,일,14,1.13,1.13,0.901,75.87,79.73%
2021,1차년도(2021),05-02,81,2021-05-02,일,15,1.13,1.13,0.638,76.1,56.46%
2021,1차년도(2021),05-05,81,2021-05-05,수,12,0.68,0.68,0.796,75.98,117.06%
2021,1차년도(2021),05-05,81,2021-05-05,수,13,0.68,0.68,0.598,75.35,87.94%
2021,1차년도(2021),05-05,81,2021-05-05,수,14,0.68,0.68,0.535,75.35,78.68%
2021,1차년도(2021),05-05,81,2021-05-05,수,15,0.68,0.68,0.79,75.72,116.18%
2021,1차년도(2021),05-07,81,2021-05-07,금,12,0.48,0.48,0.644,81.13,134.17%
2021,1차년도(2021),05-07,81,2021-05-07,금,13,0.48,0.48,0.78,79.84,162.50%
2021,1차년도(2021),05-08,81,2021-05-08,토,13,0.25,0.25,0.095,65.63,38.00%
2021,1차년도(2021),05-08,81,2021-05-08,토,14,0.25,0.25,0.055,75.34,22.00%
2021,1차년도(2021),05-25,81,2021-05-25,화,11,0.23,0.23,1.064,81.65,462.61%
2021,1차년도(2021),05-25,81,2021-05-25,화,12,0.23,0.23,1.014,81.6,440.87%
2021,1차년도(2021),05-25,81,2021-05-25,화,13,0.23,0.23,1.557,80.27,676.96%
2021,1차년도(2021),05-25,81,2021-05-25,화,14,0.23,0.23,0.958,81.26,416.52%
2021,1차년도(2021),05-28,81,2021-05-28,금,11,0.4,0.4,0.991,82.09,247.75%
2021,1차년도(2021),05-28,81,2021-05-28,금,12,0.35,0.35,1.2,82.09,342.86%
2021,1차년도(2021),05-28,81,2021-05-28,금,13,0.35,0.35,0.854,80.98,244.00%
2021,1차년도(2021),10-03,81,2021-10-03,일,12,4.36,4.36,0.467,106.21,10.71%
2022,2차년도(2022),03-05,70,2022-03-05,토,13,7.77,7.77,0.971,180.98,12.50%
2022,2차년도(2022),03-05,70,2022-03-05,토,14,8.13,8.13,1.082,180.84,13.31%
2022,2차년도(2022),03-05,70,2022-03-05,토,15,7.5,7.5,1.067,184.12,14.23%
2022,2차년도(2022),03-29,70,2022-03-29,화,13,9.2199,9.2199,1.753,192.31,19.01%
2022,2차년도(2022),04-09,70,2022-04-09,토,12,7.4,7.4,1.329,195.88,17.96%
2022,2차년도(2022),04-09,70,2022-04-09,토,13,7.419,7.419,1.272,186.11,17.15%
2022,2차년도(2022),04-09,70,2022-04-09,토,14,7.599,7.599,0.988,189.77,13.00%
2022,2차년도(2022),04-16,70,2022-04-16,토,12,9.05,9.05,1.087,198.55,12.01%
2022,2차년도(2022),04-16,70,2022-04-16,토,13,8.84,8.84,1.1,153.53,12.44%
2022,2차년도(2022),04-16,70,2022-04-16,토,14,9.25,9.25,0.914,197.78,9.88%
2022,2차년도(2022),04-17,70,2022-04-17,일,12,8.04,8.04,1.328,125.47,16.52%
2022,2차년도(2022),04-17,70,2022-04-17,일,13,8.379,8.379,1.018,119,12.15%
2022,2차년도(2022),04-17,70,2022-04-17,일,14,7.91,7.91,1.015,126.35,12.83%
2022,2차년도(2022),04-17,70,2022-04-17,일,15,8.24,8.24,1.498,128.46,18.18%
2022,2차년도(2022),04-19,70,2022-04-19,화,12,7.16,7.16,0.667,189.16,9.32%
2022,2차년도(2022),04-19,70,2022-04-19,화,13,6.8,6.8,0.553,194.56,8.13%
2022,2차년도(2022),04-20,70,2022-04-20,수,12,9.669,9.669,1.879,197.03,19.43%
2022,2차년도(2022),04-20,70,2022-04-20,수,13,8.45,8.45,1.855,185.02,21.95%
