일자,제어지역,누적 시행회차,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2021-10-17,제주,1,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2022-03-06,제주,1,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0
2022-03-27,제주,2,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0
2022-04-08,제주,3,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2022-04-09,제주,4,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0
2022-04-10,제주,5,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2022-04-15,제주,6,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2022-04-16,제주,7,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0
2022-04-17,제주,8,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2022-04-19,제주,9,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2022-04-20,제주,10,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2022-04-22,제주,11,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2022-04-24,제주,12,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2022-04-27,제주,13,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2022-05-01,제주,14,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0
2022-05-03,제주,15,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2022-05-04,제주,16,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2022-05-14,제주,17,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2022-05-15,제주,18,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2022-05-16,제주,19,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2022-05-21,제주,20,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2022-05-22,제주,21,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2022-06-01,제주,22,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2022-10-15,제주,23,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2022-10-17,제주,24,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2022-10-18,제주,25,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2022-10-19,제주,26,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2022-10-20,제주,27,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2022-10-23,제주,28,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2023-02-26,제주,1,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0
2023-02-28,제주,2,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2023-03-02,제주,3,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2023-03-03,제주,4,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0,0
2023-03-04,제주,5,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2023-03-11,제주,6,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2023-03-13,제주,7,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2023-03-14,제주,8,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0
2023-03-15,제주,9,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2023-03-16,제주,10,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2023-03-18,제주,11,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0
2023-03-19,제주,12,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0
2023-03-26,제주,13,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0
2023-03-27,제주,14,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2023-03-29,제주,15,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2023-03-31,제주,16,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2023-04-01,제주,17,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2023-04-02,제주,18,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0
2023-04-03,제주,19,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2023-04-08,제주,20,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2023-04-09,제주,21,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0
2023-04-10,제주,22,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2023-04-12,제주,23,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0
2023-04-13,제주,24,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2023-04-15,제주,25,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2023-04-16,제주,26,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0
2023-04-17,제주,27,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2023-04-20,제주,28,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2023-04-21,제주,29,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2023-04-22,제주,30,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2023-04-23,제주,31,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2023-04-26,제주,32,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0
2023-04-27,제주,33,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0
2023-04-30,제주,34,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0
2023-05-01,제주,35,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0
2023-05-02,제주,36,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0
2023-05-08,제주,37,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2023-05-09,제주,38,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0
2023-05-10,제주,39,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0
2023-05-11,제주,40,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2023-05-14,제주,41,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2023-05-16,제주,42,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2023-05-20,제주,43,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0,0
2023-05-21,제주,44,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2023-05-23,제주,45,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2023-05-25,제주,46,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2023-05-26,제주,47,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2023-06-03,제주,48,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2023-06-07,제주,49,0,0,0,0,0,0,0,0,0,0,0,출력제어,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-16,제주,50,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2023-06-17,제주,51,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2023-10-01,제주,52,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2023-10-04,제주,53,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2023-10-05,제주,54,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0
2023-10-10,제주,55,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2023-10-14,제주,56,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2023-10-15,제주,57,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2023-10-17,제주,58,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2023-10-21,제주,59,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2023-10-22,제주,60,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2023-10-27,제주,61,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2023-10-28,제주,62,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2023-10-29,제주,63,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0,0
2023-10-31,제주,64,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2024-02-17,제주,1,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,,
2024-03-09,제주,2,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,,
2024-03-10,제주,3,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,,
2024-03-23,제주,4,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,,
2024-03-30,제주,5,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,,
2024-04-01,제주,6,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,,
2024-04-07,제주,7,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,,
2024-04-10,제주,8,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,0,0,0,0,0,0,0,0,,
2024-04-16,제주,9,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,,
2024-04-18,제주,10,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,,
2024-04-24,제주,11,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,0,0,0,0,0,0,0,0,0,,
2024-04-25,제주,12,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,0,0,0,0,0,0,0,0,,
2024-04-27,제주,13,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,,
