year,month,land,jeju,total
2001,4,,,50.7053983530246
2001,5,,,52.5523643840022
2001,6,,,51.2473849194355
2001,7,,,47.4283392456902
2001,8,,,42.2931996917762
2001,9,,,44.5406691994361
2001,10,,,46.9313044150608
2001,11,,,47.1390509780127
2001,12,,,56.2843923715158
2002,1,,,58.1168631978579
2002,2,,,52.127754282797
2002,3,,,50.5000300315061
2002,4,,,46.7547208910869
2002,5,,,48.2378051870685
2002,6,,,39.2020175607079
2002,7,,,40.0638131186597
2002,8,,,36.0815730735463
2002,9,,,40.7557052407713
2002,10,,,46.313210423025
2002,11,,,53.9463200644648
2002,12,,,54.1105249370024
2003,1,,,55.4580855564851
2003,2,,,54.9951914766338
2003,3,,,56.6123063892043
2003,4,,,55.8944262061617
2003,5,,,57.0428836116966
2003,6,,,50.3326866870172
2003,7,,,40.0110110765285
2003,8,,,37.8984810777112
2003,9,,,42.7191776481367
2003,10,,,47.4170561944624
2003,11,,,50.8563401565047
2003,12,,,55.8081991464019
2004,1,,,54.8081100464857
2004,2,,,60.3434751651831
2004,3,,,60.3490015786814
2004,4,,,57.2610582856979
2004,5,,,54.1360824915949
2004,6,,,52.4771521071888
2004,7,,,49.7190778651185
2004,8,,,46.675971519038
2004,9,,,49.7673369516456
2004,10,,,58.7437683382685
2004,11,,,60.9158974671901
2004,12,,,63.6049578108449
2005,1,,,67.2175059183735
2005,2,,,62.8545489399052
2005,3,,,61.7198574470179
2005,4,,,52.4021706242771
2005,5,,,47.008806353874
2005,6,,,52.8477591248188
2005,7,,,55.3561086871434
2005,8,,,54.045566412206
2005,9,,,63.4873829253822
2005,10,,,64.2936349898882
2005,11,,,76.2849347162206
2005,12,,,81.093094984345
2006,1,,,81.1554438381966
2006,2,,,82.6366090666223
2006,3,,,85.4929057509421
2006,4,,,83.4437585727776
2006,5,,,81.747798168626
2006,6,,,71.7601359828139
2006,7,,,65.3009107055877
2006,8,,,73.517379399514
2006,9,,,74.43
2006,10,,,69.92
2006,11,,,87.61
2006,12,,,89.63
2007,1,,,86.4478283816205
2007,2,,,82.6894326679821
2007,3,,,88.8865046658076
2007,4,,,82.616902354283
2007,5,,,81.4825998682476
2007,6,,,81.9415140856035
2007,7,,,76.0665964010579
2007,8,,,74.7004833289015
2007,9,,,71.8604757789952
2007,10,,,86.3960224999765
2007,11,,,91.0150325116139
2007,12,,,97.8414866615236
2008,1,,,105.89
2008,2,,,106.76
2008,3,,,109.97
2008,4,,,110.65
2008,5,,,107.81
2008,6,,,105.79
2008,7,,,117.77
2008,8,,,104.52
2008,9,,,129.27
2008,10,,,144.0
2008,11,,,161.11
2008,12,,,167.37
2009,1,,,159.44
2009,2,,,161.05
2009,3,,,126.37
2009,4,,,114.18
2009,5,,,93.69
2009,6,,,74.08
2009,7,,,66.39
2009,8,,,75.7
2009,9,,,79.78
2009,10,,,83.56
2009,11,,,104.45
2009,12,,,116.77
2010,1,122.28,160.33,122.58
2010,2,120.21,157.7,120.52
2010,3,120.55,159.52,120.88
2010,4,115.15,154.78,115.48
2010,5,115.33,155.82,115.66
2010,6,114.45,158.63,114.8
2010,7,114.11,162.13,114.51
2010,8,119.51,161.96,119.89
2010,9,116.04,160.9,116.42
2010,10,111.64,159.45,112.01
2010,11,105.36,152.59,105.74
2010,12,131.17,164.09,131.43
2011,1,131.95,173.2,132.3
2011,2,123.02,177.82,123.47
2011,3,123.25,177.01,123.7
2011,4,116.95,190.36,117.56
2011,5,117.02,211.07,117.78
2011,6,118.91,235.93,119.84
2011,7,118.56,227.65,119.5
2011,8,116.09,229.82,117.09
2011,9,132.75,226.55,133.51
2011,10,122.94,223.34,123.73
2011,11,139.94,228.61,140.63
2011,12,145.87,238.71,146.64
2012,1,147.01,248.52,147.88
2012,2,159.16,248.49,159.93
2012,3,176.86,254.55,177.53
2012,4,157.43,252.32,158.24
2012,5,170.58,264.28,171.35
2012,6,177.55,255.93,178.16
2012,7,184.64,243.87,185.14
2012,8,160.35,225.76,160.94
2012,9,133.21,230.1,134.01
2012,10,149.57,250.32,150.39
2012,11,138.1,255.22,139.04
2012,12,164.94,227.87,165.46
2013,1,151.59,214.19,152.14
2013,2,150.24,210.85,150.79
2013,3,151.61,211.3,152.13
2013,4,162.85,218.78,163.33
2013,5,150.48,217.65,151.04
2013,6,157.67,215.21,158.13
2013,7,154.75,215.14,155.29
2013,8,153.44,231.09,154.19
2013,9,136.22,210.87,136.88
2013,10,155.37,206.72,155.8
2013,11,144.52,208.15,145.05
2013,12,149.42,204.36,149.9
2014,1,142.61,201.94,143.16
2014,2,153.16,203.51,153.63
2014,3,162.99,207.52,163.4
2014,4,150.54,209.62,151.09
2014,5,144.14,198.72,144.61
2014,6,135.85,194.58,136.35
2014,7,142.26,195.39,142.72
2014,8,128.0,193.61,128.6
2014,9,130.92,189.65,131.44
2014,10,131.67,195.38,132.22
2014,11,133.27,191.63,133.78
2014,12,143.86,170.59,144.1
2015,1,140.54,163.75,140.76
2015,2,121.16,137.15,121.33
2015,3,118.35,117.99,118.35
2015,4,103.45,132.08,103.72
2015,5,96.31,130.94,96.62
2015,6,84.13,131.79,84.54
2015,7,81.53,133.6,81.99
2015,8,88.15,134.03,88.59
2015,9,90.73,118.4,90.98
2015,10,98.29,103.99,98.34
2015,11,94.89,99.28,94.93
2015,12,95.41,100.97,95.46
2016,1,90.7,97.79,90.77
2016,2,87.62,88.05,87.62
2016,3,87.34,84.26,87.31
2016,4,75.37,77.25,75.38
2016,5,68.72,75.53,68.78
2016,6,65.15,82.62,65.31
2016,7,66.79,93.81,67.06
2016,8,71.43,101.13,71.73
2016,9,71.3,97.3,71.55
2016,10,73.27,95.96,73.48
2016,11,74.83,98.21,75.04
2016,12,86.76,103.91,86.93
2017,1,86.1,106.06,86.31
2017,2,90.76,121.17,91.07
2017,3,91.67,129.71,92.06
2017,4,74.88,121.12,75.35
2017,5,78.76,117.92,79.14
2017,6,82.33,123.53,82.71
2017,7,76.3,123.87,76.79
2017,8,75.91,120.67,76.4
2017,9,72.82,111.87,73.21
2017,10,72.41,115.98,72.84
2017,11,81.15,116.55,81.48
2017,12,90.41,126.93,90.77
2018,1,91.8,133.46,92.23
2018,2,90.3,131.32,90.75
2018,3,101.15,131.77,101.47
2018,4,90.54,127.67,90.91
2018,5,87.22,129.14,87.64
2018,6,89.29,140.34,89.79
2018,7,86.58,153.18,87.27
2018,8,90.28,159.7,91.02
2018,9,92.14,161.67,92.87
